date,day_of_year,lai_max,lai_min
2019-05-29,149,4.9,0
2019-05-30,150,4.9,0
2019-05-31,151,4.9,0
2019-06-01,152,4.9,0
2019-06-02,153,4.9,0
2019-06-03,154,4.9,0
2019-06-04,155,4.9,0
2019-06-05,156,4.9,0
2019-06-06,157,4.9,0
2019-06-07,158,4.9,0
2019-06-08,159,4.9,0
2019-06-09,160,4.9,0
2019-06-10,161,4.9,0
2019-06-11,162,4.9,0
2019-06-12,163,4.9,0
2019-06-13,164,4.9,0
2019-06-14,165,4.9,0
2019-06-15,166,4.9,0
2019-06-16,167,4.9,0
2019-06-17,168,4.9,0
2019-06-18,169,4.9,0
2019-06-19,170,4.9,0
2019-06-20,171,4.9,0
2019-06-21,172,4.9,0
2019-06-22,173,4.9,0
2019-06-23,174,4.9,0
2019-06-24,175,4.9,0
2019-06-25,176,4.9,0
2019-06-26,177,4.9,0
2019-06-27,178,4.9,0
2019-06-28,179,4.9,0
2019-06-29,180,4.9,0
2019-06-30,181,4.9,0
2019-07-01,182,4.9,0
2019-07-02,183,4.9,0
2019-07-03,184,4.9,0
2019-07-04,185,4.9,0
2019-07-05,186,4.9,0
2019-07-06,187,4.9,0
2019-07-07,188,4.9,0
2019-07-08,189,4.9,0
2019-07-09,190,4.9,0
2019-07-10,191,4.9,0
2019-07-11,192,4.9,0
2019-07-12,193,4.9,0
2019-07-13,194,4.9,0
2019-07-14,195,4.9,0
2019-07-15,196,4.9,0
2019-07-16,197,4.9,0
2019-07-17,198,4.9,0
2019-07-18,199,4.9,0
2019-07-19,200,4.9,0
2019-07-20,201,4.9,0
2019-07-21,202,4.9,0
2019-07-22,203,4.9,0
2019-07-23,204,4.9,0
2019-07-24,205,4.9,0
2019-07-25,206,4.9,0
2019-07-26,207,4.9,0
2019-07-27,208,4.9,0
2019-07-28,209,4.9,0
2019-07-29,210,4.9,0
2019-07-30,211,4.9,0
2019-07-31,212,4.9,0
2019-08-01,213,4.9,0
2019-08-02,214,4.9,0
2019-08-03,215,4.9,0
2019-08-04,216,4.9,0
2019-08-05,217,4.9,0
2019-08-06,218,4.9,0
2019-08-07,219,4.9,0
2019-08-08,220,4.9,0
2019-08-09,221,4.9,0
2019-08-10,222,4.9,0
2019-08-11,223,4.9,0
2019-08-12,224,4.9,0
2019-08-13,225,4.9,0
2019-08-14,226,4.9,0
2019-08-15,227,4.9,0
2019-08-16,228,4.9,0
2019-08-17,229,4.9,0
2019-08-18,230,4.9,0
2019-08-19,231,4.9,0
2019-08-20,232,4.9,0
2019-08-21,233,4.9,0
2019-08-22,234,4.9,0
2019-08-23,235,4.9,0
