FID,Join_Count,TARGET_FID,FID_1,GEOID,PerOpSpc,OpSpcZSc,FoodScr,FodScZSc,TranRatScr,TranScZSc,VtPaZSc,IntAcZSc,AvgRdScr,AvRdZSc,AccComScr,AvgNuiScr,AvNuZSc,AvgCrScr,AvCrZSc,UTCScr,UTCZSc,MedHmVa,MeHmVZSc,LifExRts,LifZSc,CosBuZSc,LivComScr,GradRt,GrdRtZSc,AvgStMoRt,StuMoZSc,AvgTestPer,TesZSc,PerBacMo,BaAtZSc,EduComScr,JobScrRts,JobZSc,UmRt,UnRtZSc,PerStrg,StugZSc,MedHHInc,MeHHInZSc,EmpComScr,OverComSc,AccIndCls,LivIndCls,EduIndCls,EcoIndCls,OveIndCls,SHAPE_Leng,SHAPE_Area,Id,Input_FID,Export_Out,Export_O_1,Export_O_2,Export_O_3,Export_O_4,Export_O_5,Export_O_6,Export_O_7,Export_O_8,Export_O_9,Export__10,Export__11
115,1,115,116,530530605002,1.367524982,1.396457472,0.7273644172,-0.8073072677,1.074375664,-0.1502328563,1.122190892,1.427604595,30.85076251,-0.7635579561,0.3708591465,644.425,0.3454775619,569.845,0.4260069881,0.42,1.561963115,502300,2.819323186,84.04,1.411633698,1.850216553,1.40243685,94.98530388,1.149232802,6.8308,1.176128349,65.081,1.728046052,49.37888199,1.430948598,1.37108895,0.5921908894,-0.2345511442,1.084598698,1.151280494,9.598214286,1.407549977,102257,1.89485052,1.054782462,1.049791852,Very High,Very High,Very High,Very High,Very High,4205.30934,1013798.5,0,4,4,psu_star_lab_tacoma_jefferson_outside,"north mason ave, north 16th st",active,02_08_2018,na,0.34,pa_ii_sd,"temp, humidity, pressure","a functional, b downgraded",47.264218,-122.495192
31,1,31,32,530530605003,1.136253029,0.8111911754,2.597962946,1.083002398,1.269748037,-0.0724131986,0.9385258457,1.153489385,40.78410532,0.01376025166,0.6545926429,741.71,0.232724038,645.495,0.337343665,0.21,0.02934323772,358900,1.315538566,84.04,1.411633698,0.2259793154,0.5920937532,94.98529816,1.149231925,5.97382,1.481653402,65.2747,1.743673202,51.92307692,1.598484571,1.493260775,0.3286004057,-0.2737493609,6.490872211,0.2136400436,29.67818832,0.2697040141,71250,0.5481898922,0.1894461472,0.7323483295,Very High,Very High,Very High,High,Very High,2911.262714,522224,0,4,4,psu_star_lab_tacoma_jefferson_outside,"north mason ave, north 16th st",active,02_08_2018,na,0.34,pa_ii_sd,"temp, humidity, pressure","a functional, b downgraded",47.264218,-122.495192
17,1,17,18,530530605004,0.8462899923,0.07739881146,2.720187962,1.206515341,4.085258246,1.049045465,1.185394902,1.429665612,38.30177317,-0.1804907688,0.7945882273,453.449,0.566819156,727.66,0.2410446307,0.21,0.02934323772,316300,0.8688075696,84.04,1.411633698,0.9049548591,0.6704338584,94.98588552,1.149321949,5.90394,1.506566574,64.5488,1.685109711,54.84581498,1.790947717,1.532986488,1.375609756,-0.1180498881,3.170731707,0.7894707019,13.8769671,1.165089965,90481,1.383408731,0.8049798775,0.9507471127,Very High,Very High,Very High,Very High,Very High,3282.024016,670302,0,4,4,psu_star_lab_tacoma_jefferson_outside,"north mason ave, north 16th st",active,02_08_2018,na,0.34,pa_ii_sd,"temp, humidity, pressure","a functional, b downgraded",47.264218,-122.495192
124,1,124,125,530530605005,1.123057991,0.777799271,2.548741028,1.033261812,2.083262905,0.2516216046,1.078389498,1.423482562,41.74331226,0.08882149074,0.7755627064,681.285,0.3027567428,590.9,0.4013301042,0.22,0.1023251367,372500,1.458156912,84.04,1.411633698,2.275714537,0.9919861883,94.98698002,1.1494897,5.93444,1.495692908,64.8825,1.712031652,65.39440204,2.485575225,1.710697371,0.3139931741,-0.2759215843,1.194539249,1.132212885,7.045215563,1.552219987,98889,1.748575389,1.039271669,1.129379484,Very High,Very High,Very High,Very High,Very High,4082.152027,718991,0,4,4,psu_star_lab_tacoma_jefferson_outside,"north mason ave, north 16th st",active,02_08_2018,na,0.34,pa_ii_sd,"temp, humidity, pressure","a functional, b downgraded",47.264218,-122.495192
116,1,116,117,530530606001,1.297350019,1.218869832,1.19781343,-0.331900973,0.9619407413,-0.1950173211,0.9142077454,1.433787645,37.74515576,-0.2240479941,0.469316489,482.914,0.5326691577,398.479,0.6268513904,0.26,0.3942527324,569100,3,82.64,1.044096875,1.571695659,1.194927636,94.98526144,1.149226298,10.0111,0.04230804248,52.4309,0.7074729391,66.38772664,2.550985937,1.112498304,1.983673469,-0.02762548113,6.12244898,0.2775377586,13.58490566,1.181640029,112969,2.360081876,0.9479085457,0.9311627436,Very High,Very High,Very High,Very High,Very High,9833.532468,1959756.54,0,1,1,psu_star_lab_6th_and_baker_outside,"south baker st, 6th ave",active,04_11_2018,na,1,pa_ii_sd,"temp, humidity, pressure",a and b functional,47.25804,-122.44368
117,1,117,118,530530606002,1.080127984,0.669158833,1.230225242,-0.299147626,0.8196721311,-0.2516849776,0.9096092042,0.2775573208,20.26147716,-1.592205922,-0.047785528,783.165,0.184677604,728.115,0.2405113615,0.24,0.2482889345,504900,2.846588458,82.64,1.044096875,0.3043105964,0.8114123048,94.98529816,1.149231925,9.69333,0.1555973796,53.65,0.8058263657,55.50708833,1.834492758,0.9862871072,0.07582938389,-0.3113386286,0,1.339388552,13.19672131,1.203639984,68558,0.4312740213,0.6657409821,0.6039137165,Moderate,Very High,High,Very High,Very High,4365.740498,746329.5,0,1,1,psu_star_lab_6th_and_baker_outside,"south baker st, 6th ave",active,04_11_2018,na,1,pa_ii_sd,"temp, humidity, pressure",a and b functional,47.25804,-122.44368
33,1,33,34,530530606003,1.094399989,0.7052761531,1.300901179,-0.2277269527,1.223990208,-0.09063920735,0.3662898269,0.2899234206,12.4373297,-2.204472346,-0.1935581842,2814.66,-2.169829463,1261.23,-0.3843101523,0.17,-0.262584358,372800,1.461302905,82.64,1.044096875,-0.08442487212,-0.06595817771,94.98529816,1.149231925,9.69333,0.1555973796,53.65,0.8058263657,45.61403509,1.183032341,0.823422003,0.0623853211,-0.3133378787,4.403669725,0.5756353207,27.18204489,0.4111500084,40781,-0.7751049341,-0.02541437092,0.1346228175,Low,Moderate,High,Moderate,High,3516.651677,463499,0,1,1,psu_star_lab_6th_and_baker_outside,"south baker st, 6th ave",active,04_11_2018,na,1,pa_ii_sd,"temp, humidity, pressure",a and b functional,47.25804,-122.44368
118,1,118,119,530530606004,1.176886022,0.9140186954,1.570195243,0.04440475491,1.149425287,-0.1203394997,0.6426805962,0.2940454538,20.08067772,-1.606354099,0.02807598357,2682.01,-2.016087828,2245.24,-1.537589684,0.21,0.02934323772,340500,1.122584333,82.64,1.044096875,0.2820385242,-0.1792690906,94.98523794,1.149222696,9.89769,0.08274025357,51.6127,0.6414629534,74.16413374,3,1.218356476,0.2741935484,-0.2818401377,0,1.339388552,20,0.8181269765,98036,1.711528867,0.8968010643,0.4909911083,Moderate,Moderate,Very High,Very High,High,3861.743406,463340.5,0,1,1,psu_star_lab_6th_and_baker_outside,"south baker st, 6th ave",active,04_11_2018,na,1,pa_ii_sd,"temp, humidity, pressure",a and b functional,47.25804,-122.44368
119,1,119,120,530530606005,1.210914999,1.000133822,1.821998888,0.298861741,1.572327044,0.04810842047,0.7134335905,0.2796183375,28.68329345,-0.9331698581,0.2344976755,1334.05,-0.4537992939,1640.1,-0.8283534205,0.18,-0.1896024591,313000,0.8342016474,82.64,1.044096875,1.933520415,0.3900106272,94.98510547,1.149202393,10.0721,0.02056071089,49.8706,0.5009154146,43.59430605,1.0500326,0.6801777796,0.1039823009,-0.307152043,6.637168142,0.1882671167,9.119496855,1.434679985,96875,1.66110564,0.7442251748,0.5122278143,High,High,High,Very High,Very High,3316.526406,419331.5,0,1,1,psu_star_lab_6th_and_baker_outside,"south baker st, 6th ave",active,04_11_2018,na,1,pa_ii_sd,"temp, humidity, pressure",a and b functional,47.25804,-122.44368
21,1,21,22,530530606006,0.7933769971,-0.05650498634,1.897368819,0.3750258712,1.471506717,0.007950217834,0.4268372866,0.2754963042,31.03248238,-0.7493377519,0.04657782362,1533.85,-0.6853679229,1373.29,-0.5156467285,0.18,-0.1896024591,241400,0.08335800165,82.64,1.044096875,0.1435845992,-0.01992960583,94.87744483,1.132701578,10.0985,0.01114875098,49.8134,0.4963006857,35.2688172,0.5017967522,0.5354869417,0.5178082192,-0.2456124996,23.28767123,-2.699523369,46.80534918,-0.7008219957,38611,-0.869349897,-1.12882694,-0.1416729452,Moderate,Moderate,High,Very Low,Moderate,3261.309983,572569.5,0,1,1,psu_star_lab_6th_and_baker_outside,"south baker st, 6th ave",active,04_11_2018,na,1,pa_ii_sd,"temp, humidity, pressure",a and b functional,47.25804,-122.44368
